order_id,date,city,product,category,unit_price,quantity,discount_pct,revenue,manager
1255,2024-05-21,Lviv,Latte,Drinks,70,2,0,140,Olena
1299,2024-05-25,Harkiv,Tea,Drinks,40,2,5,76,Bohdan
1003,2024-01-14,Harkiv,Muffin,Baking,60,1,0,60,Olena
1226,2024-04-21,Lviv,Cappuccino,Drinks,65,1,0,65,Olena
1114,2024-02-16,Lviv,Latte,Drinks,70,1,10,63,Andrij
1164,2024-03-20,Kyiv,Cheesecake,Desserts,110,2,0,220,Maria
1338,2024-06-02,Kyiv,Tiramisu,Desserts,120,3,0,360,Andrij
1044,2024-01-01,Harkiv,Cheesecake,Desserts,110,1,0,110,Olena
1169,2024-03-18,Kyiv,Muffin,Baking,60,1,0,60,Andrij
1193,2024-04-27,Kyiv,Latte,Drinks,70,5,0,350,Olena
1313,2024-06-08,Harkiv,Muffin,Baking,60,2,0,120,Bohdan
1170,2024-03-10,Kyiv,Espresso,Drinks,45,1,0,45,Maria
1345,2024-06-16,Odesa,Tiramisu,Desserts,120,1,0,120,Olena
1213,2024-04-20,Lviv,Cappuccino,Drinks,65,4,0,260,Andrij
1262,2024-05-24,Lviv,Muffin,Baking,60,2,10,108,Maria
1209,2024-04-05,Lviv,Espresso,Drinks,45,2,0,90,Maria
1059,2024-01-22,Kyiv,Muffin,Baking,60,4,0,240,Andrij
1088,2024-02-04,Kyiv,Cappuccino,Drinks,65,1,0,65,Bohdan
1035,2024-01-17,Lviv,Muffin,Baking,60,3,0,180,Bohdan
1192,2024-04-26,Kyiv,Sandwich,Food,95,4,0,380,Andrij
1119,2024-02-05,Kyiv,Tiramisu,Desserts,120,1,15,102,Andrij
1352,2024-06-08,Lviv,Espresso,Drinks,45,3,0,135,Andrij
1145,2024-03-16,Harkiv,Raffle,Drinks,85,1,0,85,Olena
1248,2024-05-24,Lviv,Cheesecake,Desserts,110,5,0,550,Olena
1151,2024-03-16,Odesa,Muffin,Baking,60,3,0,180,Andrij
1218,2024-04-28,Kyiv,Cheesecake,Desserts,110,4,10,396,Maria
1054,2024-01-17,Odesa,Tiramisu,Desserts,120,2,5,228,Andrij
1173,2024-03-06,Harkiv,Muffin,Baking,60,1,0,60,Bohdan
1017,2024-01-25,Lviv,Tea,Drinks,40,1,0,40,Maria
1047,2024-01-24,Odesa,Sandwich,Food,95,2,0,190,Maria
1243,2024-05-27,Odesa,Tea,Drinks,40,1,0,40,Bohdan
1163,2024-03-27,Lviv,Latte,Drinks,70,1,0,70,Andrij
1159,2024-03-08,Odesa,Raffle,Drinks,85,2,0,170,Andrij
1175,2024-03-26,Lviv,Cappuccino,Drinks,65,1,0,65,Bohdan
1104,2024-02-04,Kyiv,Cheesecake,Desserts,110,3,5,313.5,Andrij
1191,2024-04-25,Kyiv,Espresso,Drinks,45,1,0,45,Olena
1097,2024-02-10,Harkiv,Latte,Drinks,70,5,0,350,Olena
1212,2024-04-06,Kyiv,Cappuccino,Drinks,65,1,0,65,Andrij
1020,2024-01-13,Odesa,Muffin,Baking,60,5,0,300,Andrij
